x;y;m
412.0;44.0;1.0
413.0;42.0;1.0
414.0;41.0;1.0
415.0;39.0;1.0
416.0;37.0;1.0
417.0;35.0;1.0
418.0;34.0;1.0
419.0;32.0;1.0
420.0;30.0;1.0
421.0;29.0;1.0
422.0;27.0;1.0
423.0;25.0;1.0
424.0;23.0;1.0
387.0;44.0;1.0
389.0;44.0;1.0
391.0;44.0;1.0
393.0;44.0;1.0
395.0;44.0;1.0
397.0;44.0;1.0
399.0;44.0;1.0
401.0;44.0;1.0
403.0;44.0;1.0
405.0;44.0;1.0
407.0;44.0;1.0
409.0;44.0;1.0
411.0;44.0;1.0
375.0;22.0;1.0
376.0;24.0;1.0
377.0;26.0;1.0
378.0;28.0;1.0
379.0;29.0;1.0
380.0;31.0;1.0
381.0;33.0;1.0
382.0;35.0;1.0
383.0;36.0;1.0
384.0;38.0;1.0
385.0;40.0;1.0
386.0;42.0;1.0
387.0;43.0;1.0
387.0;1.0;1.0
386.0;3.0;1.0
385.0;4.0;1.0
384.0;6.0;1.0
383.0;8.0;1.0
382.0;10.0;1.0
381.0;11.0;1.0
380.0;13.0;1.0
379.0;15.0;1.0
378.0;16.0;1.0
377.0;18.0;1.0
376.0;20.0;1.0
375.0;22.0;1.0
412.0;1.0;1.0
410.0;1.0;1.0
408.0;1.0;1.0
406.0;1.0;1.0
404.0;1.0;1.0
402.0;1.0;1.0
400.0;1.0;1.0
398.0;1.0;1.0
396.0;1.0;1.0
394.0;1.0;1.0
392.0;1.0;1.0
390.0;1.0;1.0
388.0;1.0;1.0
425.0;22.0;1.0
424.0;21.0;1.0
423.0;19.0;1.0
422.0;17.0;1.0
421.0;16.0;1.0
420.0;14.0;1.0
419.0;12.0;1.0
418.0;10.0;1.0
417.0;9.0;1.0
416.0;7.0;1.0
415.0;5.0;1.0
414.0;3.0;1.0
413.0;2.0;1.0
