x;y;m
276.5;1.896;1.0
276.81600000000003;1.896;1.0
276.5;2.212;1.0
276.81600000000003;2.212;1.0
272.392;2.528;1.0
272.076;2.528;1.0
280.608;2.844;1.0
280.29200000000003;2.844;1.0
272.392;2.844;1.0
272.076;2.844;1.0
280.608;3.16;1.0
280.29200000000003;3.16;1.0
267.968;3.476;1.0
267.652;3.476;1.0
267.968;3.792;1.0
267.652;3.792;1.0
263.86;4.74;1.0
263.544;4.74;1.0
263.86;5.056;1.0
263.544;5.056;1.0
259.436;6.32;1.0
259.752;6.32;1.0
259.436;6.636;1.0
259.752;6.636;1.0
283.136;7.9;1.0
283.452;7.9;1.0
255.644;8.216;1.0
283.136;8.216;1.0
283.452;8.216;1.0
255.96;8.216;1.0
255.96;8.532;1.0
255.644;8.532;1.0
252.168;10.428;1.0
251.852;10.428;1.0
252.168;10.744;1.0
251.852;10.744;1.0
248.692;12.956;1.0
248.376;12.956;1.0
286.296;12.956;1.0
285.98;12.956;1.0
285.98;13.272;1.0
248.692;13.272;1.0
248.376;13.272;1.0
286.296;13.272;1.0
245.216;15.8;1.0
245.532;15.8;1.0
245.532;16.116;1.0
245.216;16.116;1.0
288.824;18.012;1.0
289.14;18.012;1.0
288.824;18.328;1.0
289.14;18.328;1.0
242.056;18.96;1.0
242.372;18.96;1.0
242.372;19.276;1.0
242.056;19.276;1.0
239.844;22.436;1.0
239.528;22.436;1.0
239.844;22.752;1.0
239.528;22.752;1.0
291.668;23.068;1.0
291.352;23.068;1.0
291.668;23.384;1.0
291.352;23.384;1.0
294.512;24.964;1.0
294.196;24.964;1.0
294.512;25.28;1.0
294.196;25.28;1.0
237.316;26.228;1.0
297.04;26.228;1.0
237.0;26.228;1.0
297.356;26.228;1.0
237.316;26.544;1.0
297.356;26.544;1.0
297.04;26.544;1.0
237.0;26.544;1.0
300.2;27.492;1.0
299.884;27.492;1.0
300.2;27.808;1.0
299.884;27.808;1.0
303.044;28.756;1.0
302.728;28.756;1.0
303.044;29.072;1.0
302.728;29.072;1.0
305.25600000000003;30.02;1.0
235.42000000000002;30.02;1.0
305.572;30.02;1.0
235.104;30.02;1.0
235.42000000000002;30.336;1.0
305.572;30.336;1.0
235.104;30.336;1.0
305.25600000000003;30.336;1.0
308.416;31.284;1.0
308.1;31.284;1.0
308.1;31.6;1.0
308.416;31.6;1.0
310.944;32.548;1.0
311.26;32.548;1.0
310.944;32.864;1.0
311.26;32.864;1.0
233.524;33.812;1.0
233.208;33.812;1.0
314.104;33.812;1.0
313.788;33.812;1.0
233.208;34.128;1.0
313.788;34.128;1.0
233.524;34.128;1.0
314.104;34.128;1.0
316.632;35.076;1.0
316.31600000000003;35.076;1.0
316.632;35.392;1.0
316.31600000000003;35.392;1.0
319.16;36.34;1.0
319.476;36.34;1.0
319.16;36.656;1.0
319.476;36.656;1.0
322.32;37.604;1.0
322.004;37.604;1.0
322.004;37.92;1.0
322.32;37.92;1.0
232.26;38.236;1.0
231.944;38.236;1.0
232.26;38.552;1.0
231.944;38.552;1.0
230.996;42.344;1.0
230.68;42.344;1.0
230.996;42.660000000000004;1.0
230.68;42.660000000000004;1.0
325.164;45.188;1.0
324.848;45.188;1.0
325.164;45.504;1.0
324.848;45.504;1.0
230.048;46.768;1.0
230.364;46.768;1.0
230.364;47.084;1.0
230.048;47.084;1.0
328.008;48.664;1.0
327.692;48.664;1.0
328.008;48.980000000000004;1.0
327.692;48.980000000000004;1.0
230.364;50.876;1.0
230.048;50.876;1.0
230.364;51.192;1.0
230.048;51.192;1.0
329.904;51.824;1.0
230.364;51.824;1.0
230.048;51.824;1.0
330.22;51.824;1.0
230.364;52.14;1.0
230.048;52.14;1.0
330.22;52.14;1.0
329.904;52.14;1.0
229.732;56.88;1.0
329.904;56.88;1.0
230.048;56.88;1.0
330.22;56.88;1.0
229.732;57.196;1.0
330.22;57.196;1.0
329.904;57.196;1.0
230.048;57.196;1.0
229.732;61.936;1.0
330.22;61.936;1.0
230.048;61.936;1.0
330.536;61.936;1.0
230.048;62.252;1.0
229.732;62.252;1.0
330.22;62.252;1.0
330.536;62.252;1.0
330.22;66.992;1.0
229.416;66.992;1.0
229.732;66.992;1.0
330.536;66.992;1.0
229.732;67.308;1.0
330.22;67.308;1.0
229.416;67.308;1.0
330.536;67.308;1.0
