x;y;m
200;2;1
201;2;1
202;2;1
203;2;1
204;2;1
205;2;1
206;2;1
207;2;1
208;2;1
209;2;1
210;2;1
211;2;1
212;2;1
213;2;1
214;2;1
215;2;1
216;2;1
217;2;1
218;2;1
219;2;1
220;2;1
221;2;1
222;2;1
223;2;1
224;2;1
225;2;1
226;2;1
227;2;1
228;2;1
229;2;1
230;2;1
231;2;1
232;2;1
233;2;1
234;2;1
235;2;1
236;2;1
237;2;1
238;2;1
239;2;1
240;2;1
241;2;1
242;2;1
243;2;1
244;2;1
245;2;1
246;2;1
247;2;1
248;2;1
249;2;1
250;2;1
251;2;1
252;2;1
253;2;1
254;2;1
255;2;1
256;2;1
257;2;1
258;2;1
259;2;1
260;2;1
261;2;1
262;2;1
263;2;1
264;2;1
265;2;1
266;2;1
267;2;1
268;2;1
269;2;1
270;2;1
271;2;1
272;2;1
273;2;1
274;2;1
275;2;1
276;2;1
277;2;1
278;2;1
279;2;1
280;2;1
281;2;1
282;2;1
283;2;1
284;2;1
285;2;1
286;2;1
287;2;1
288;2;1
289;2;1
290;2;1
291;2;1
292;2;1
293;2;1
294;2;1
295;2;1
296;2;1
297;2;1
298;2;1
299;2;1
300;2;1
301;2;1
302;2;1
303;2;1
304;2;1
305;2;1
306;2;1
307;2;1
308;2;1
309;2;1
310;2;1
311;2;1
312;2;1
313;2;1
314;2;1
315;2;1
316;2;1
317;2;1
318;2;1
319;2;1
320;2;1
321;2;1
322;2;1
323;2;1
324;2;1
325;2;1
326;2;1
327;2;1
328;2;1
329;2;1
330;2;1
331;2;1
332;2;1
333;2;1
334;2;1
335;2;1
336;2;1
337;2;1
338;2;1
339;2;1
340;2;1
341;2;1
342;2;1
343;2;1
344;2;1
345;2;1
346;2;1
347;2;1
348;2;1
349;2;1
350;2;1
351;2;1
352;2;1
353;2;1
354;2;1
355;2;1
356;2;1
357;2;1
358;2;1
359;2;1
360;2;1
361;2;1
362;2;1
363;2;1
364;2;1
365;2;1
366;2;1
367;2;1
368;2;1
369;2;1
370;2;1
371;2;1
372;2;1
373;2;1
374;2;1
375;2;1
376;2;1
377;2;1
378;2;1
379;2;1
380;2;1
381;2;1
382;2;1
383;2;1
384;2;1
385;2;1
386;2;1
387;2;1
388;2;1
389;2;1
390;2;1
391;2;1
392;2;1
393;2;1
394;2;1
395;2;1
396;2;1
397;2;1
398;2;1
399;2;1
400;2;1
401;2;1
402;2;1
403;2;1
404;2;1
405;2;1
406;2;1
407;2;1
408;2;1
409;2;1
410;2;1
411;2;1
412;2;1
413;2;1
414;2;1
415;2;1
416;2;1
417;2;1
418;2;1
419;2;1
420;2;1
421;2;1
422;2;1
423;2;1
424;2;1
425;2;1
426;2;1
427;2;1
428;2;1
429;2;1
430;2;1
431;2;1
432;2;1
433;2;1
434;2;1
435;2;1
436;2;1
437;2;1
438;2;1
439;2;1
440;2;1
441;2;1
442;2;1
443;2;1
444;2;1
445;2;1
446;2;1
447;2;1
448;2;1
449;2;1
450;2;1
451;2;1
452;2;1
453;2;1
454;2;1
455;2;1
456;2;1
457;2;1
458;2;1
459;2;1
460;2;1
461;2;1
462;2;1
463;2;1
464;2;1
465;2;1
466;2;1
467;2;1
468;2;1
469;2;1
470;2;1
471;2;1
472;2;1
473;2;1
474;2;1
475;2;1
476;2;1
477;2;1
478;2;1
479;2;1
480;2;1
481;2;1
482;2;1
483;2;1
484;2;1
485;2;1
486;2;1
487;2;1
