x;y;m
0;2;1
7.416198487095663;3.0;1.0
-7.416198487095663;3.0;1.0
23.45207879911715;12.0;1.0
-23.45207879911715;12.0;1.0
32.32645975048923;21.0;1.0
-32.32645975048923;21.0;1.0
39.242833740697165;30.0;1.0
-39.242833740697165;30.0;1.0
45.110974274559844;39.0;1.0
-45.110974274559844;39.0;1.0
50.299105359837164;48.0;1.0
-50.299105359837164;48.0;1.0
55.0;57.0;1.0
-55.0;57.0;1.0
59.329587896765304;66.0;1.0
-59.329587896765304;66.0;1.0
63.36402764976355;75.0;1.0
-63.36402764976355;75.0;1.0
67.15653356152326;84.0;1.0
-67.15653356152326;84.0;1.0
70.74602462329597;93.0;1.0
-70.74602462329597;93.0;1.0
